Invoice_ID,Branch,City,Customer_Type,Gender,Product_Line,Unit_Price,Quantity,Total,Payment,Rating
INV-0054,A,Yangon,Member,Female,Electronic accessories,25.6,1,26.88,Credit card,5.5
INV-0055,A,Yangon,Normal,Male,Home and lifestyle,35.19,7,258.65,Cash,8.1
INV-0056,C,Naypyitaw,Member,Female,Food and beverages,32.3,3,101.74,Cash,6.7
INV-0057,A,Yangon,Member,Female,Electronic accessories,38.03,4,159.73,Credit card,8.8
INV-0058,A,Yangon,Member,Female,Health and beauty,25.59,5,134.35,Credit card,9.7
INV-0059,B,Mandalay,Member,Female,Health and beauty,43.72,10,459.06,Cash,7.7
INV-0060,A,Yangon,Normal,Male,Health and beauty,65.43,7,480.91,E-wallet,9.0
INV-0061,B,Mandalay,Member,Male,Food and beverages,67.9,1,71.3,E-wallet,9.7
INV-0062,C,Naypyitaw,Member,Female,Electronic accessories,96.51,10,1013.36,Cash,5.3
INV-0063,C,Naypyitaw,Normal,Male,Sports and travel,11.64,3,36.67,E-wallet,5.4
INV-0064,A,Yangon,Member,Male,Fashion accessories,71.35,2,149.84,E-wallet,5.6
INV-0065,A,Yangon,Normal,Male,Fashion accessories,66.6,8,559.44,Cash,9.8
INV-0066,B,Mandalay,Member,Male,Home and lifestyle,77.56,3,244.31,Credit card,6.3
INV-0067,C,Naypyitaw,Member,Male,Sports and travel,60.57,1,63.6,E-wallet,8.8
INV-0068,A,,Normal,Male,Sports and travel,91.23,4,383.17,Credit card,6.5
INV-0069,C,Naypyitaw,Member,Female,Electronic accessories,14.81,9,139.95,Cash,6.6
INV-0070,B,Mandalay,Member,Male,Health and beauty,61.61,5,323.45,Cash,7.8
INV-0071,A,Yangon,Member,Male,Health and beauty,95.16,9,899.26,Cash,7.5
INV-0072,C,Naypyitaw,Member,Male,Sports and travel,59.46,5,312.17,Cash,6.8
INV-0073,B,Mandalay,Normal,Male,Health and beauty,71.92,10,755.16,Cash,9.2
INV-0074,B,Mandalay,Normal,Male,Home and lifestyle,30.03,9,283.78,Credit card,5.7
INV-0075,A,Yangon,Normal,Male,Home and lifestyle,30.99,8,260.32,Cash,9.4
INV-0076,A,Yangon,Normal,Female,Electronic accessories,63.27,4,265.73,E-wallet,7.4
INV-0077,B,Mandalay,Member,Female,Food and beverages,32.39,3,102.03,E-wallet,6.3
INV-0078,B,Mandalay,Normal,Female,Health and beauty,61.43,4,258.01,Cash,9.1
INV-0079,C,Naypyitaw,Member,Female,Electronic accessories,71.29,9,673.69,Cash,5.4
INV-0080,A,Yangon,Normal,Male,Sports and travel,49.27,10,517.34,Cash,5.2
INV-0081,A,Yangon,Normal,Male,Sports and travel,93.22,5,489.41,E-wallet,9.8
INV-0082,B,Mandalay,Member,Female,Electronic accessories,29.51,1,30.99,Credit card,6.9
INV-0083,C,Naypyitaw,Normal,Female,Electronic accessories,92.37,10,969.89,Credit card,7.3
INV-0084,A,Yangon,Normal,Female,Fashion accessories,26.93,10,282.77,Credit card,6.3
INV-0085,A,Yangon,Member,Male,Electronic accessories,33.4,6,210.42,Cash,6.5
INV-0086,A,Yangon,Member,Female,Health and beauty,34.39,3,108.33,Credit card,7.1
INV-0087,A,Yangon,Normal,Female,Electronic accessories,47.64,8,400.18,E-wallet,5.2
INV-0088,C,Naypyitaw,Normal,Male,Electronic accessories,79.98,2,167.96,Cash,6.9
INV-0089,B,Mandalay,Member,Male,Electronic accessories,999.99,1,1049.99,Credit card,5.2
INV-0090,C,Naypyitaw,Normal,Female,Electronic accessories,11.23,7,82.54,Cash,7.7
INV-0091,A,Yangon,Member,Male,Sports and travel,92.18,7,677.52,Cash,8.8
INV-0092,C,Naypyitaw,Normal,Male,Electronic accessories,31.7,9,299.56,E-wallet,6.4
INV-0093,B,Mandalay,Normal,Male,Electronic accessories,70.45,2,147.95,E-wallet,8.4
INV-0094,B,Mandalay,Normal,Male,Sports and travel,79.51,2,166.97,Credit card,9.8
INV-0095,B,Mandalay,Normal,Male,Sports and travel,81.26,1,85.32,E-wallet,7.1
INV-0096,A,Yangon,Member,Female,Home and lifestyle,67.54,3,212.75,Credit card,6.8
INV-0097,B,Mandalay,Member,Female,Fashion accessories,45.3,3,142.69,Cash,7.6
INV-0098,C,Naypyitaw,Member,Male,Health and beauty,36.82,10,386.61,Cash,9.0
INV-0099,B,Mandalay,Normal,Male,Electronic accessories,54.29,4,228.02,Credit card,8.1
INV-0100,B,Mandalay,Member,Male,Home and lifestyle,28.82,3,90.78,E-wallet,5.6
INV-0013,C,Naypyitaw,Member,Male,Food and beverages,27.9,8,234.36,Cash,8.0
INV-0056,C,Naypyitaw,Member,Female,Food and beverages,32.3,3,101.74,Cash,6.7
